"term_en","fr_rendering","source","frequency","occurrence_types","contexts","decision_needed"
"appreciation-for-a-system","Appréciation d'un système","W. E. Deming, ""La connaissance approfondie"" (Versailles 1989), https://www.fr-deming.org/WED_Versailles89.pdf (partie sur l'appréciation du système); rendu confirmé par la littérature AFED francophone",21,"prose|ui","A. [Appreciation for a system]{.deming_quote} B. [Some knowledge of theory of variation]{.deming_quote} C. [Theory of knowledge]{.deming_quote} D. [Knowledge of | ### Appreciation for a System | Deming's attempt to summarise the essence of his whole life's work. It comprises four major parts — Appreciation for a System, Theory of Variation, Theory of Kn",FALSE
"Peter Scholtes's",NA,NA,21,"prose","After writing so much on what can and does go wrong, let's return to the System of Profound Knowledge. In case you might find it helpful, I would like to give y | I liked it! Three succinctly-expressed major foundations of Dr Deming's work, and displayed in a simple diagrammatical form which also clearly broadcasts the me | It may be wise at this stage for me to remind you of my warning at the bottom of Appendix page 23 (see also my ""Obsession With Quality"" comment on about the dan",TRUE
"Quality Control",NA,NA,21,"prose","In our context, and with our special interest in processes being in, or at least heading toward, statistical control, we might try to narrow the breadth of the  | ### 8. ""Our Quality Control Department takes care of all our problems of quality."" | Unfortunately, Quality Control Departments have taken the job of quality away from the people that can contribute most to quality—management, supervisors, manag",TRUE
"SPC Press",NA,NA,21,"prose","During Day 3 you were introduced to the ancient but valuable study by Don Wheeler of ""A Japanese Control Chart"": it is examined in some detail in Part B of the  | KILIAN Cecelia S, *The World of W Edwards Deming*. SPC Press, Knoxville, TN (2nd edition 1992). | NEAVE, H R, *The Deming Dimension*. SPC Press, Knoxville, TN (1990).",TRUE
"theory-of-variation","Connaissance de la variation","W. E. Deming, ""La connaissance approfondie"" (Versailles 1989), https://www.fr-deming.org/WED_Versailles89.pdf — ""La connaissance des variations""; ""connaissance pour l'étude des variations"". Variante établie: ""théorie des variations"" (Techniques de l'Ingénieur, ""Découvrir Deming, la théorie des variations"").",21,"prose|ui","But the links are stronger still. In one of my seminars I often used a slide which simply shows the Joiner Triangle with two words inscribed in the middle: ""Red | A. [Appreciation for a system]{.deming_quote} B. [Some knowledge of theory of variation]{.deming_quote} C. [Theory of knowledge]{.deming_quote} D. [Knowledge of | ### Some Knowledge of Theory of Variation",FALSE
"New Climate",NA,NA,20,"prose","On Days 2 and 3, the Major Activities will mainly be matters of time rather than requiring a great deal of deep thought. But, after Day 3, the Major Activities  | We shall cover these three emphases on Day 8 (see also *DemDim* Part 3: “The New Climate”). | ## The 1980s (second half): A new climate",TRUE
"sample size",NA,NA,20,"prose","- Summarising ""raw data"" through pictures such as histograms and the calculation of ""sample statistics"" such as the sample mean *X̄* and the sample standard dev | Notice how, with sample size , the picture is noticeably different from the picture of probabilities on the previous page but that, by the time we reach , the s | The above link between probability distributions and histograms immediately raises the idea of a *probability distribution* having its own *mean* and *standard ",TRUE
"chart constants",NA,NA,19,"prose","- Introduction - Part A: Using control charts on Funnel Experiment data — an extension of Major Activity 3–h 1. Introduction 2. Rules 1 and 2 of the Funnel *(** | In this section we'll introduce the type of control charts that are almost universally employed for studying subgrouped data. There are other possibilities but, | And how about the second of the pair of control charts, the *R*-chart, on which we plot subgroup ranges? Obviously enough, the Central Line here will be the mea",TRUE
"control chart constants",NA,NA,19,"prose","- Introduction - Part A: Using control charts on Funnel Experiment data — an extension of Major Activity 3–h 1. Introduction 2. Rules 1 and 2 of the Funnel *(** | In this section we'll introduce the type of control charts that are almost universally employed for studying subgrouped data. There are other possibilities but, | And how about the second of the pair of control charts, the *R*-chart, on which we plot subgroup ranges? Obviously enough, the Central Line here will be the mea",TRUE
"conventional statistician's",NA,NA,19,"prose","- Introduction - Part A: Using control charts on Funnel Experiment data — an extension of Major Activity 3–h 1. Introduction 2. Rules 1 and 2 of the Funnel *(** | So, whether or not you have a background in conventional Statistics, there you have many clues as to why much of the remaining content has been included within  | That question was largely addressed in the ""How do we compute those control limits—and why?"" section beginning on Day 3 page 13. There we argued how moving rang",TRUE
"numerical targets",NA,NA,19,"prose","The strong link here is wholly obvious. But note the implications concerning management style. Anything (and there is often much) that management does to erect  | ## Point 11. Eliminate arbitrary numerical targets *( )* | Again, this is quality ""across the board"". Those [""arbitrary numerical targets""] do the opposite—they focus attention on bits and pieces of the picture and, if ",TRUE
"parts per",NA,NA,19,"prose","But beware! If you read Part E of the Optional Extras you will find me referring on page 60 to the famous British statistician, the late Professor George Box, s | Sadly, my enthusiasm was short-lived. First, I soon came across some advisors who were extolling the virtue of ""six-sigma"" quality as being the greater freedom  | First, just a few weeks after initially hearing about ""six-sigma"", I read papers in two journals (which I shall not reference because I don't want you to read t",TRUE
"visible figures",NA,NA,19,"prose","## Disease 5. Use of only visible figures *( )* | With that summary of invisible figures in mind, the obstructive effect to real quality of dependence on only visible figures becomes immediately evident—frighte | With regard to that response I have often noticed how, once people have become familiar with control charts and how to interpret them—particularly in terms of c",TRUE
"binomial distribution",NA,NA,18,"prose","- Introduction - Part A: Using control charts on Funnel Experiment data — an extension of Major Activity 3–h 1. Introduction 2. Rules 1 and 2 of the Funnel *(** | ## Probability distributions, particularly the binomial distribution | Let's develop the same theme to find the *standard deviation* σ or the *variance* σ² of this simple binomial distribution. So now we want to find the long-term ",TRUE
