"term_en","fr_rendering","source","frequency","occurrence_types","contexts","decision_needed","approved_fr","decision","reviewer_notes"
"probability distribution",,,29,"prose","No probabilities, no fancy theory, no assumptions about any particular probability distribution, etc—*experience*! Shewhart carried out a lot of experimentation | - Summarising ""raw data"" through pictures such as histograms and the calculation of ""sample statistics"" such as the sample mean *X̄* and the sample standard dev | Portrayal of the probabilities of all possible individual outcomes in the situation being considered, either as a picture like that on page 38 or just the numbe",TRUE,,,
"normally distributed",,,28,"prose","And there’s the difficulty. What kind of “terms and conditions” could possibly be specified that would apply in practice to data from processes of all the kinds | - A very long while ago, I used to teach control-charting the “conventional” way, i.e. trying to interpret control limits in terms of probabilities, saying that | Nevertheless, the normal distribution has such appealing mathematical properties for the conventional statistician that I need to tell you a little more about i",TRUE,,,
"process limits",,,28,"prose","In the “Springboard” article just mentioned on , as indeed in much of my other writing, I have largely followed the guidance of Dr Donald J Wheeler by using som | The final section of Prelude A was: ""Performing 'within limits'"". The study of whether a process is or is not performing within its limits, and what that implie | It is when processes are *only* being affected by such inherent causes that they fluctuate between their natural process limits. We say that processes are ""norm",TRUE,,,
"work through",,,28,"prose","(1) In the event that you are having difficulties here, I believe that plenty of thoughts will come to you as we work through the 14 Points and the Deadly Disea | If you decided to work through the crash-course (Part D) then it may be quite a while since you read Part C. I shall therefore start by reproducing the final se | *How* can a control chart tell you what you need to know? That’s where you encounter the snag about skipping parts of the main text in the morning of Day 3. For",TRUE,,,
"zig zag",,,28,"prose","**Rule 3**'s zig-zag effect is the complete opposite. (This is *negative* autocorrelation.) ""Zig-zag"" *means* up-down-up-down-up … : i.e. here the moving ranges | Regarding the control limits, there are two influences with Rule 2 that will widen the gap between them. Firstly, there is the approximately 40% increase in var | ### Rules 2 and/or 3 (""zig-zag"")",TRUE,,,
"Control Limit",,,27,"prose","What do we see? All the data are contained between the Lower and Upper Control Limits (LCL and UCL). Even Ernie’s 3, just after the forthcoming performance appr | Again let's look first at the short control charts of the two simulations. The second one does not appear to have anything much to tell us, but I suggest the fi | !First long Rule 2 control chart: persistent zig-zag pattern throughout all 50 points, with the run line never approaching either control limit — the hugging-th",TRUE,,,
"day seminar",,,27,"prose","A delegate at a four-day seminar ventured to quote the well-known saying: ""If you can't measure it, you can't manage it"". Deming's typically brief and pointed r | My first direct contact with Dr Deming came in 1985, and in a wholly unexpected and very privileged fashion. In the Spring of that year, out of the blue I recei | The London four-day seminars became an annual event from 1985 to 1991 inclusive, and I had the same privilege of working with Dr Deming as his assistant at all ",TRUE,,,
"time data",,,27,"prose","Another great value of Don’s work is that, whereas it used to be the case that control charts were generally considered to require small *samples* of data to be | In extract from *EST* on , I referred to the control chart (process behaviour chart) as being “a remarkable statistical technique which, to all intents and purp | - Introduction - Part A: Using control charts on Funnel Experiment data — an extension of Major Activity 3–h 1. Introduction 2. Rules 1 and 2 of the Funnel *(**",TRUE,,,
"Central Limit",,,26,"prose","- A very long while ago, I used to teach control-charting the “conventional” way, i.e. trying to interpret control limits in terms of probabilities, saying that | - Introduction - Part A: Using control charts on Funnel Experiment data — an extension of Major Activity 3–h 1. Introduction 2. Rules 1 and 2 of the Funnel *(** | For example, the ""conventional"" student has been taught that both the theory and ""validity"" of control charts depend upon traditional Mathematical Statistical f",TRUE,,,
"Deming philosophy",,,26,"prose","My acquaintance was, in fact, also now a member of staff in another part of the same university. This was around the time that British universities were first b | > And for the third time, here I have quoted all that Dr Deming wrote for a particular Obstacle. > > This Obstacle struck a loud chord for me. In my very early  | That note was written by Dr Deming's elder daughter, Diana. One of the most distinguishing features of the Deming philosophy is the understanding of the pros an",TRUE,,,
"other hand",,,26,"prose","However, a few months later, these same people started complaining of low energy levels and low resistance to diseases. The research laboratories went into over | On the other hand, probably all the figures reported at monthly management meetings are from what I call ""man-made"" processes. Obviously, they are reported at t | Mixing up the two situations is dangerous—and very easy to do if you are not using process limits. ""Gut feel"" is not very reliable. Trying to find and eliminate",TRUE,,,
"work together",,,26,"prose","This is a case where what relates to the other two corners of the Triangle is also immediately relevant here. Regarding All One Team: although quality depends i | Another drawback of traditional ""education"" is its concentration on *individual* learning and either the sense or indeed the accusation of ""cheating"" if student | All One Team includes development of personal relationships, learning to work together, learning to help each other for mutual benefit and the benefit of the co",TRUE,,,
"years ago",,,26,"prose","In the “Springboard” article just mentioned on , as indeed in much of my other writing, I have largely followed the guidance of Dr Donald J Wheeler by using som | > “So what shall we do? Anyone can set for himself a clean record from this hour henceforth on *one* of the two mistakes. But, if he does, he will achieve the m | Many years ago the late Dr Myron Tribus, a respected consultant and speaker, took around with him some randomly-generated data, displayed in a format somewhat s",TRUE,,,
